kode;pemda;geo;lat;lon
994761;Kota Batu;Polygon;-7,859529972;112,5450726
994754;Kota Cimahi;Polygon;-6,880257751;107,545021
994740;Kota Tasikmalaya;Polygon;-7,355806037;108,2292557
994733;Kota Lubuk Linggau;Polygon;-3,320900119;102,8891138
994729;Kota Pagar Alam;Polygon;-4,105786107;103,2893082
994712;Kota Prabumulih;Polygon;-3,473692991;104,2288495
994708;Kota Tanjung Pinang;MultiPolygon;0,913011614;104,4557319
994690;Kota Padang Sidempuan;Polygon;1,339331336;99,29865492
994686;Kota Lhokseumawe;Polygon;5,170073792;97,11275451
994672;Kota Langsa;MultiPolygon;4,500031392;98,01226735
993401;Kab. Mimika;MultiPolygon;-4,525184959;136,2562763
993393;Kab. Paniai;Polygon;-3,859066276;136,5741145
993389;Kab. Puncak Jaya;Polygon;-3,278204173;137,8621025
993372;Kab. Simeulue;MultiPolygon;2,590405217;96,15669503
993368;Kota Kupang;Polygon;-10,20054386;123,5986864
993351;Kab. Tanggamus;MultiPolygon;-5,584712573;104,8292362
993347;Kab. Tulang Bawang;MultiPolygon;-4,460985497;105,4676524
993330;Kota Bekasi;Polygon;-6,303436937;106,9635692
993326;Kota Kendari;MultiPolygon;-3,990004742;122,5652435
993312;Kota Jayapura;MultiPolygon;-2,566866398;140,7266335
993305;Kab. Nabire;MultiPolygon;-3,222462069;135,3236306
993290;Kab. Jayawijaya;Polygon;-4,126760517;138,8750249
993283;Kab. Merauke;MultiPolygon;-7,960905872;138,9715252
993279;Kab. Fak Fak;MultiPolygon;-2,932125764;132,4218578
993262;Kab. Sorong;MultiPolygon;-1,053687448;131,4113096
993258;Kab. Kepulauan Yapen;MultiPolygon;-1,747256538;136,0628748
993241;Kab. Manokwari;MultiPolygon;-0,924417975;133,810166
993237;Kab. Biak Numfor;MultiPolygon;-1,082068865;135,7470616
993220;Kab. Jayapura;MultiPolygon;-2,573054039;140,2718836
993202;Kota Ambon;MultiPolygon;-3,68764252;128,1884885
993194;Kab. Halmahera Tengah;MultiPolygon;0,281824945;128,7413801
993180;Kab. Halmahera Barat;MultiPolygon;1,395942587;127,5308105
993173;Kab. Maluku Tenggara;MultiPolygon;-5,703630302;132,8701112
993169;Kab. Maluku Tengah;MultiPolygon;-3,607767028;128,9886121
993148;Kab. Kolaka;MultiPolygon;-4,150182496;121,5199887
993131;Kab. Muna;MultiPolygon;-4,780986216;122,7101773
993127;Kab. Buton;MultiPolygon;-5,323880506;122,8967428
993110;Kab. Konawe;MultiPolygon;-3,662343831;121,9817649
993091;Kota Bitung;MultiPolygon;1,466433854;125,2211477
993084;Kota Gorontalo;Polygon;0,52076628;123,0562155
993070;Kota Manado;MultiPolygon;1,577223295;124,7843758
