kode,pemda,geo,lat,lon,2018,2022
992082,Kota Palangkaraya,Polygon,"-2,199877332","113,876417",0.3704135532571814,0.3754837005306975
992075,Kab. Kotawaringin Barat,MultiPolygon,"-2,705300126","111,815659",0.3562429162227744,0.3580723679667767
992061,Kab. Kotawaringin Timur,MultiPolygon,"-2,539020792","112,7844798",0.3596116992680718,0.3603278944227428
992054,Kab. Barito Selatan,Polygon,"-1,772335563","115,0127081",0.3731274414062491,0.38394218059501195
992040,Kab. Barito Utara,Polygon,"-0,812883177","115,1547538",0.3540778882575752,0.354806839143387
992033,Kab. Kapuas,MultiPolygon,"-1,965223341","114,3061109",0.3618752281111901,0.36520156397964093
992012,Kota Pontianak,Polygon,"-0,040666799","109,3416469",0.358200658933081,0.36471971299913136
992008,Kab. Ketapang,MultiPolygon,"-1,245108769","110,2989678",0.3525754308218902,0.36243092546559286
991993,Kab. Kapuas Hulu,Polygon,"1,013762593","113,1525572",0.3461262034406566,0.3509921788687661
991989,Kab. Mempawah,MultiPolygon,"0,381700927","109,1295003",0.358200658933081,0.3647286339962115
991972,Kab. Sintang,Polygon,"0,245386795","111,6694104",0.3648560988300977,0.37691245339133506
991968,Kab. Sanggau,Polygon,"0,043121132","110,1521883",0.364085539230193,0.36852191963581116
991951,Kab. Sambas,Polygon,"1,368056815","109,3209049",0.370046312736743,0.3864887769294512
991930,Kota Madiun,MultiPolygon,"-7,627765741","111,526913",0.5811251307015465,0.5973397611367575
991926,Kota Kediri,Polygon,"-7,831098942","112,0198118",0.5577372171421249,0.561938273111979
991912,Kota Blitar,Polygon,"-8,094420998","112,1705826",0.5592501307015468,0.5667783548374375
991905,Kota Probolinggo,Polygon,"-7,762817477","113,2160439",0.5102437213936234,0.505912413934265
991890,Kota Pasuruan,Polygon,"-7,642148533","112,9130296",0.5577372171421249,0.561938273111979
991883,Kota Malang,Polygon,"-7,978317025","112,6252952",0.5577372171421249,0.561938273111979
991879,Kota Mojokerto,Polygon,"-7,474977074","112,435701",0.5577372171421249,0.561938273111979
991862,Kota Surabaya,Polygon,"-7,247399618","112,7641307",0.5577371924814558,0.5619382484513098
991858,Kab. Lamongan,MultiPolygon,"-6,978168888","112,3344311",0.304540436099274,0.304540436099274
991841,Kab. Tuban,Polygon,"-6,84396649","111,9531768",0.304540436099274,0.304540436099274
991837,Kab. Bojonegoro,Polygon,"-7,259265298","111,8291047",0.5811251307015465,0.5973397611367575
991820,Kab. Pacitan,MultiPolygon,"-8,219153416","111,1943033",0.5251261023319121,0.5689278157552082
991816,Kab. Ponorogo,Polygon,"-7,95812186","111,4871443",0.5811251122060447,0.5973397611367575
991802,Kab. Magetan,Polygon,"-7,637303376","111,3952605",0.5811251307015465,0.5973397611367575
991794,Kab. Ngawi,Polygon,"-7,464870227","111,4295693",0.5811251307015465,0.5973397611367575
991780,Kab. Madiun,Polygon,"-7,602244706","111,5834192",0.5811251307015465,0.5973397611367575
991773,Kab. Blitar,MultiPolygon,"-8,265354351","112,2098923",0.559035829486269,0.5667783548374375
991769,Kab. Trenggalek,MultiPolygon,"-8,281936706","111,6032134",0.5251261023319121,0.5689278157552082
991752,Kab. Nganjuk,Polygon,"-7,566910664","111,93512",0.5811251307015465,0.5973397611367575
991748,Kab. Tulungagung,MultiPolygon,"-8,220168477","111,8610611",0.5251261023319121,0.5689278157552082
991731,Kab. Kediri,Polygon,"-7,837515451","112,1153775",0.5577372171421249,0.561938273111979
991727,Kab. Lumajang,Polygon,"-8,056491341","113,1696571",0.5028136343907826,0.51787278300584
991710,Kab. Probolinggo,MultiPolygon,"-7,760948324","113,3810389",0.5102437213936234,0.505912413934265
991706,Kab. Pasuruan,Polygon,"-7,693536554","112,9150796",0.5577372171421249,0.561938273111979
991691,Kab. Malang,MultiPolygon,"-8,30731207","112,6914663",0.5593570778586645,0.5667640948054768
